Facility Name,Registration Number,County,Street Address,City,State,Zip Code,Contact Name,Phone Number,Extension,Website,Location 1
Jerge's Used Auto Parts Inc.,1033,Allegany,7708 County Road 26,Belfast,NY,14711,Annette Kish,585-365-2758,,,"7708 County Road
Belfast, NY 14711"
"Elemet, Inc.",1213,Columbia,1 Industrial Tract,Hudson,NY,12534,Alex Delia,518-828-4136,5,,"1 Industrial
Hudson, NY 12534"
Ombligo Inc.,120,Kings,"4014 1st Avenue, 5th Floor SW, Unit 16",Brooklyn,NY,11232,Michael Epp,718-384-0796,,http://www.ombligo.com,
E-Scrap of Syracuse,1192,Onondaga,1759 Route 11,Tully,NY,13159,Joe D'Agostino,315-382-7885,,http://www.e-scrap.co,"1759 Route
Tully, NY 13159"
"Green Chip, Inc.",1210,Queens,19-36 38th Street,Astoria,NY,11105,Lee Srokosz,718-349-2620,,,"19 36 38th Street
Astoria, NY 11105"
Prince Metal,34,Queens,37-90 Railroad Avenue,New York,NY,11101,Rick Hwang,347-541-6899,,http://www.PrinceMetal.com,"37 90 Railroad Avenue
New York, NY 11101"
"The 4th Bin, Inc.",23,Queens,35-10 10th Street,Long Island City,NY,11106,Michael Deutsch,646-747-5987,,http://www.4thbin.com,"35 10 10th Street
Long Island City, NY 11106"
Maryhaven Center of Hope,777,Suffolk,445 County Road 101,Yaphank,NY,11980,John Mahoney,631-924-5900 ,,http://www.maryhaven.chsli.org,"445 County Road
Yaphank, NY 11980"
"Edison Electronics, Inc.",402,Otsego,"5375 State Highway 7, Suite 1",Oneonta,NY,13820,Ahren Edison,607-432-9311,,,"5375 State Highway 7
Oneonta, NY 13820
(42.457111, -75.035472)"
eWorks ESI AHRC Suffolk,977,Suffolk,55 Crossway East,Bohemia,NY,11716,Natale Leo,631-585-0100,,http://www.eworksesi.org,"55 Crossway East
Bohemia, NY 11716
(40.786801, -73.146146)"
Advanced Technology Recycling,1060,Erie,200 Fire Tower Drive,Tonawanda,NY,14150,Barb Ehresman,716-693-7779,,http://www.atrecycle.com,"200 Fire Tower Drive
Tonawanda, NY 14150
(42.991759, -78.908442)"
The Computer Shop,1211,Broome,118 West Main Street,Endicott,NY,13760,Jason Mcgonnigal,607-484-9033,,http://thecomputershopny.com,"118 West Main Street
Endicott, NY 13760
(42.095155, -76.066096)"
"Electronic Waste Recycling, Inc.",1065,Suffolk,"1648 Locust Avenue, Suite H",Bohemia,NY,11716,Michael Marro,631-256-6610,,,"1648 Locust Avenue
Bohemia, NY 11716
(40.785033, -73.117615)"
Computer Connection of CNY Inc.,947,Oneida,11206 Cosby Manor Road,Utica,NY,13502,Mike Buffa,315-724-2209,,http://www.ccnytech.com/,"11206 Cosby Manor Road
Utica, NY 13502
(43.110854, -75.145988)"
"Green Chip, Inc.",743,Kings,540 Kingsland Avenue,Brooklyn,NY,11222,William Monteleone,718-349-3094,,http://www.greenchiprecycling.com,"540 Kingsland Avenue
Brooklyn, NY 11222
(40.734571, -73.944753)"
Advanced Recovery Inc.,28,Orange,41 Mechanic Street,Port Jervis,NY,12771,Mark Rea,845-858-8809,,http://advancedrecovery.com,"41 Mechanic Street
Port Jervis, NY 12771
(41.381421, -74.702664)"
AAA Computer Repair,1196,Onondaga,8112 Portobello Way,Liverpool,NY,13090,Bryon Haacke,315-664-2048,,,"8112 Portobello Way
Liverpool, NY 13090
(43.166074, -76.226936)"
Schoharie County ARC/ Toe Path Industries,1204,Schoharie,121 Opportunity Drive,Schoharie,NY,12157,David DiNicola,518-295-8130,,http://www.schohariearc.org,"121 Opportunity Drive
Schoharie, NY 12157
(42.640726, -74.324951)"
Ben Weitsman of Albany,1134,Albany,300 Smith Boulevard,Albany,NY,12202,Anthony Marro ,518-462-4444,,http://upstateshredding.com,"300 Smith Boulevard
Albany, NY 12202
(42.624747, -73.75848)"
